References
,"Schmidt-Kloiber, A. & Hering, D.",2015,"www.freshwaterecology.info - an online tool that unifies, standardises and codifies more than 20,000 European freshwater organisms and their ecological preferences. Ecological Indicators 53: 271-282. doi: 10.1016/j.ecolind.2015.02.007"
,"Schmidt-Kloiber, A. & Hering, D. (eds.)",2024,"www.freshwaterecology.info - the taxa and autecology database for freshwater organisms, version 8.0 (accessed on 09.06.2024)."

"Ecological parameter:","temperature preference (KLIWA)","","",
"Taxagroup: ","Bivalvia","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."
"Taxagroup: ","Ephemeroptera","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."
"Taxagroup: ","Heteroptera","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."
"Taxagroup: ","Odonata","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."
"Taxagroup: ","Plecoptera","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."
"Taxagroup: ","Trichoptera","","",
,"Halle, M., Müller, A. & Sundermann, A.",2016,"Ableitung von Temperaturpräferenzen des Makrozoo- benthos für die Entwicklung eines Verfahrens zur Indikation biozönotischer Wirkungen des Klimawandels in Fließgewässern. KLIWA- Berichte, Heft 20 (www.kliwa.de)."


Taxagroup,Family,Subfamily,Taxon,temperature preference (KLIWA),,,
"Taxagroup","Family","Subfamily","Taxon","focus temp","specificity","Ref"
"Bivalvia","CARDIIDAE","[Fam:CARDIIDAE]","Parvicardium exiguum","","",""
"Bivalvia","CORBICULIDAE","[Fam:CORBICULIDAE]","Corbicula ""fluminalis""","20.05","5.109",""
"Bivalvia","CORBICULIDAE","[Fam:CORBICULIDAE]","Corbicula fluminalis","","",""
"Bivalvia","CORBICULIDAE","[Fam:CORBICULIDAE]","Corbicula fluminea","20.45","3.971",""
"Bivalvia","DREISSENIDAE","[Fam:DREISSENIIDAE]","Congeria kusceri","","",""
"Bivalvia","DREISSENIDAE","[Fam:DREISSENIIDAE]","Congeria leucophaeata","","",""
"Bivalvia","DREISSENIDAE","[Fam:DREISSENIIDAE]","Dreissena polymorpha","20.27","4.225",""
"Bivalvia","DREISSENIDAE","[Fam:DREISSENIIDAE]","Dreissena rostriformis bugensis","","",""
"Bivalvia","MARGARITIFERIDAE","[Fam:MARGARITIFERIDAE]","Margaritifera margaritifera","","",""
"Bivalvia","MARGARITIFERIDAE","[Fam:MARGARITIFERIDAE]","Pseudunio auricularius","","",""
"Bivalvia","MYIDAE","[Fam:MYIDAE]","Horstkurtcaris nolli nolli","","",""
"Bivalvia","MYIDAE","[Fam:MYIDAE]","Minutacaris austriaca","","",""
"Bivalvia","MYIDAE","[Fam:MYIDAE]","Parastenocaris germanica","","",""
"Bivalvia","MYTILIDAE","[Fam:MYTILIDAE]","Mytilus edulis","","",""
"Bivalvia","MYTILIDAE","[Fam:MYTILIDAE]","Mytilus galloprovincialis","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Musculium lacustre","18.88","1.722",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Musculium transversum","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium amnicum","17.43","0.852",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium casertanum casertanum","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium casertanum ponderosum","18.64","1.905",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium conventus","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium crassum","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium globulare","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium henslowanum","17.57","1.127",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium hibernicum","17.49","1.765",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium hinzi","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium lilljeborgii","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium milium","16.25","1.446",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium moitessierianum","19.31","2.228",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium nitidum","16.65","0.715",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium obtusale","18.11","2.865",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium personatum","15.72","1.282",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium pseudosphaerium","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium pulchellum","15.47","2.228",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium subtilestriatum","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium subtruncatum","16.6","0.391",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium supinum","18.53","1.844",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium tenuilineatum","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium waldeni","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium corneum","17.59","0.719",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium corneum/ovale","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium nucleus","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium ovale","16.67","2.243",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium radiatum","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium rivicola","18.45","2.513",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium solidum","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Sphaerium subsolidum","","",""
"Bivalvia","TELLINIDAE","[Fam:TELLINIDAE]","Macoma balthica","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Anodonta anatina","17.8","2.069",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Anodonta cygnea","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Anodonta cygnea cygnea","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Anodonta cygnea ssp.","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Microcondylaea compressa","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Potomida littoralis","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Pseudanodonta complanata complanata","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Pseudanodonta complanata elongata","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Pseudanodonta complanata klettii","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Pseudanodonta complanata kuesteri","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Sinanodonta woodiana","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio crassus albensis","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio crassus crassus","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio crassus cytherea","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio crassus decurvatus","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio crassus riparius","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio elongatulus","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio mancus","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio pictorum latirostris","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio pictorum pictorum","18.11","2.417",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio pictorum platyrhynchus","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio tumidus depressus","","",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio tumidus tumidus","19.11","3.223",""
"Bivalvia","UNIONIDAE","[Fam:UNIONIDAE]","Unio tumidus zelebori","","",""
"Bivalvia","UNIONIDAE","ANODONTINAE","Anodonta anatina attenuata","","",""
"Bivalvia","UNIONIDAE","ANODONTINAE","Anodonta anatina rostrata","","",""
"Bivalvia","UNIONIDAE","ANODONTINAE","Anodonta cygnea deplanata","","",""
"Bivalvia","UNIONIDAE","ANODONTINAE","Anodonta cygnea solearis","","",""
"Bivalvia","VENERIDAE","[Fam:VENERIDAE]","Chamelea gallina","","",""
"Ephemeroptera","AMELETIDAE","[Fam:AMELETIDAE]","Metreletus balcanicus","","",""
"Ephemeroptera","AMELETIDAE","AMELETINAE","Ameletus inopinatus","","",""
"Ephemeroptera","AMETROPODIDAE","[Fam:AMETROPODIDAE]","Ametropus fragilis","","",""
"Ephemeroptera","AMETROPODIDAE","[Fam:AMETROPODIDAE]","Metreplecton macronyx","","",""
"Ephemeroptera","AMETROPODIDAE","[Fam:AMETROPODIDAE]","Metretopus alter","","",""
"Ephemeroptera","AMETROPODIDAE","[Fam:AMETROPODIDAE]","Metretopus borealis","","",""
"Ephemeroptera","ARTHROPLEIDAE","ARTHROPLEINAE","Arthroplea congener","","",""
"Ephemeroptera","BAETIDAE","[Fam:BAETIDAE]","Baetis calcaratus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Acentrella almohades","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Acentrella hyaloptera","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Acentrella inexpectata","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Acentrella lapponica","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Acentrella sinaica","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis albinatii","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis alpinus","13.2","5.817",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis atrebatinus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis balcanicus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis beskidensis","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis bicaudatus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis braaschi","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis buceratus","18.11","1.909",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis bundyae","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis calcaratus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis canariensis","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis catharus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis cyrneus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis digitatus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis estrelensis","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis feles","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis fuscatus","17.3","0.703",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis gadeai","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis gracilis","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis ingridae","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis kozufensis","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis liebenauae","16.14","1.304",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis longinervis","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis lutheri","15.17","0.589",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis macani","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis maurus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis melanonyx","13.92","3.704",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis meridionalis","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis muticus","14.67","1.405",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis navasi","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis neglectus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis nexus","16.48","1.193",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis nicolae","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis niger","15.21","0.919",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis nigrescens","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis nubecularis","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis pasquetorum","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis pavidus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis pseudorhodani","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis punicus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis rhodani","15.36","0.601",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis scambus","15.4","0.658",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis sinaicus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis strugensis","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis subalpinus","","",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis tracheatus","17.11","4.697",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis tricolor","16.8","2.651",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis vardarensis","17.55","0.969",""
"Ephemeroptera","BAETIDAE","BAETINAE","Baetis vernus","16.51","0.221",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Baetopus tenellus","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Baetopus wartensis","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Centroptilum litura","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Centroptilum luteolum","16.93","0.567",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Centroptilum obtusum","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Centroptilum pirinense","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon cognatum","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon degrangei","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon dipterum","17.92","1.126",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon inscriptum","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon languidum","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon petropolitanum","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon praetextum","","",""
"Ephemeroptera","BAETIDAE","CLOEONINAE","Cloeon schoenemundi","","",""
