References
,"Schmidt-Kloiber, A. & Hering, D.",2015,"www.freshwaterecology.info - an online tool that unifies, standardises and codifies more than 20,000 European freshwater organisms and their ecological preferences. Ecological Indicators 53: 271-282. doi: 10.1016/j.ecolind.2015.02.007"
,"Schmidt-Kloiber, A. & Hering, D. (eds.)",2024,"www.freshwaterecology.info - the taxa and autecology database for freshwater organisms, version 8.0 (accessed on 09.06.2024)."

"Ecological parameter:","tolerance score","","",
"Taxagroup: ","Bivalvia","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Ephemeroptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Heteroptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Odonata","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Plecoptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."
"Taxagroup: ","Trichoptera","","",
,"Working group RHEOPHYLAX (BOKU, Vienna)",2020,"New biological traits and ecological preferences of European freshwater organisms for freshwaterecology.info."


Taxagroup,Family,Subfamily,Taxon,tolerance score,,,,,,
"Taxagroup","Family","Subfamily","Taxon","tol","mtol","msen","sen","hsen","Ref"
"Bivalvia","CARDIIDAE","[Fam:CARDIIDAE]","Parvicardium exiguum","","","","","",""
"Bivalvia","CORBICULIDAE","[Fam:CORBICULIDAE]","Corbicula ""fluminalis""","0","0","1","0","0",""
"Bivalvia","CORBICULIDAE","[Fam:CORBICULIDAE]","Corbicula fluminalis","","","","","",""
"Bivalvia","CORBICULIDAE","[Fam:CORBICULIDAE]","Corbicula fluminea","1","0","0","0","0",""
"Bivalvia","DREISSENIDAE","[Fam:DREISSENIIDAE]","Congeria kusceri","","","","","",""
"Bivalvia","DREISSENIDAE","[Fam:DREISSENIIDAE]","Congeria leucophaeata","0","0","0","1","0",""
"Bivalvia","DREISSENIDAE","[Fam:DREISSENIIDAE]","Dreissena polymorpha","0","0","1","0","0",""
"Bivalvia","DREISSENIDAE","[Fam:DREISSENIIDAE]","Dreissena rostriformis bugensis","","","","","",""
"Bivalvia","MARGARITIFERIDAE","[Fam:MARGARITIFERIDAE]","Margaritifera margaritifera","0","0","1","0","0",""
"Bivalvia","MARGARITIFERIDAE","[Fam:MARGARITIFERIDAE]","Pseudunio auricularius","","","","","",""
"Bivalvia","MYIDAE","[Fam:MYIDAE]","Horstkurtcaris nolli nolli","","","","","",""
"Bivalvia","MYIDAE","[Fam:MYIDAE]","Minutacaris austriaca","","","","","",""
"Bivalvia","MYIDAE","[Fam:MYIDAE]","Parastenocaris germanica","","","","","",""
"Bivalvia","MYTILIDAE","[Fam:MYTILIDAE]","Mytilus edulis","","","","","",""
"Bivalvia","MYTILIDAE","[Fam:MYTILIDAE]","Mytilus galloprovincialis","","","","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Musculium lacustre","","","","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Musculium transversum","","","","","",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium amnicum","0","0","0","1","0",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium casertanum casertanum","1","0","0","0","0",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium casertanum ponderosum","0","0","1","0","0",""
"Bivalvia","SPHAERIIDAE","[Fam:SPHAERIIDAE]","Pisidium conventus","","","","","",""
